time 02h 04m 44s, episodes 14176, frames 8421998, run epr 50.63, run loss -3.54
time 02h 05m 53s, episodes 14226, frames 8499049, run epr 46.88, run loss -9.23
time 02h 07m 11s, episodes 14285, frames 8587685, run epr 48.44, run loss -12.22
time 02h 08m 31s, episodes 14347, frames 8677880, run epr 45.75, run loss -9.93
time 02h 09m 46s, episodes 14403, frames 8761985, run epr 47.62, run loss -8.86
time 02h 10m 46s, episodes 14452, frames 8830421, run epr 44.31, run loss -11.55
time 02h 12m 15s, episodes 14518, frames 8930338, run epr 45.91, run loss -10.41
time 02h 13m 26s, episodes 14574, frames 9010211, run epr 46.48, run loss -12.69
time 02h 14m 39s, episodes 14629, frames 9092889, run epr 48.18, run loss -7.00
time 02h 15m 48s, episodes 14676, frames 9169350, run epr 51.62, run loss -8.79
time 02h 16m 58s, episodes 14731, frames 9248688, run epr 49.09, run loss -9.39
time 02h 18m 10s, episodes 14785, frames 9329419, run epr 48.58, run loss -9.83
time 02h 19m 22s, episodes 14837, frames 9410557, run epr 54.13, run loss 1.31
time 02h 20m 51s, episodes 14904, frames 9510486, run epr 51.87, run loss -5.23
time 02h 22m 01s, episodes 14953, frames 9589496, run epr 55.11, run loss -3.60
time 02h 23m 03s, episodes 14999, frames 9659344, run epr 54.23, run loss -6.93
time 02h 24m 11s, episodes 15049, frames 9735815, run epr 56.95, run loss 1.65
time 02h 25m 34s, episodes 15109, frames 9829080, run epr 53.22, run loss -7.06
time 02h 27m 00s, episodes 15174, frames 9925912, run epr 51.23, run loss -11.02

	step 10000000: saved model

time 02h 28m 17s, episodes 15232, frames 10012552, run epr 48.03, run loss -9.74
time 02h 29m 31s, episodes 15288, frames 10096383, run epr 52.01, run loss -8.39
time 02h 31m 00s, episodes 15349, frames 10196080, run epr 63.45, run loss 3.92
time 02h 32m 05s, episodes 15393, frames 10268446, run epr 57.21, run loss -5.30
time 02h 33m 31s, episodes 15453, frames 10364274, run epr 56.46, run loss -4.78
time 02h 34m 39s, episodes 15502, frames 10440118, run epr 57.94, run loss -6.19
time 02h 36m 04s, episodes 15565, frames 10535954, run epr 55.13, run loss -8.24
time 02h 37m 32s, episodes 15631, frames 10634977, run epr 51.16, run loss -10.00
time 02h 38m 38s, episodes 15675, frames 10708198, run epr 53.29, run loss -11.79
time 02h 40m 01s, episodes 15731, frames 10801489, run epr 55.29, run loss -9.22
time 02h 41m 26s, episodes 15795, frames 10897078, run epr 55.17, run loss -10.93
time 02h 42m 28s, episodes 15839, frames 10966818, run epr 58.50, run loss -5.83
time 02h 43m 49s, episodes 15892, frames 11057638, run epr 57.67, run loss -9.31
time 02h 45m 18s, episodes 15955, frames 11158223, run epr 55.35, run loss -12.60
time 02h 46m 19s, episodes 15996, frames 11226371, run epr 58.28, run loss -10.57
time 02h 47m 19s, episodes 16037, frames 11293918, run epr 58.46, run loss -10.32
time 02h 48m 35s, episodes 16091, frames 11378820, run epr 53.21, run loss -11.12
time 02h 49m 44s, episodes 16142, frames 11457432, run epr 55.85, run loss -8.55
