time 13h 57m 44s, episodes 38937, frames 56871175, run epr 213.94, run loss 97.61
time 13h 58m 56s, episodes 38978, frames 56952267, run epr 196.61, run loss 79.13
time 14h 00m 05s, episodes 39010, frames 57029134, run epr 202.89, run loss 84.71
time 14h 01m 17s, episodes 39047, frames 57111025, run epr 219.37, run loss 108.40
time 14h 02m 43s, episodes 39090, frames 57206362, run epr 219.06, run loss 110.81
time 14h 03m 51s, episodes 39127, frames 57282996, run epr 194.88, run loss 85.73
time 14h 05m 22s, episodes 39177, frames 57385764, run epr 177.99, run loss 75.01
time 14h 06m 58s, episodes 39225, frames 57494037, run epr 199.06, run loss 92.50
time 14h 08m 28s, episodes 39269, frames 57595848, run epr 188.18, run loss 75.83
time 14h 09m 47s, episodes 39311, frames 57685262, run epr 189.51, run loss 78.76
time 14h 11m 06s, episodes 39352, frames 57774217, run epr 207.09, run loss 104.76
time 14h 12m 31s, episodes 39398, frames 57870298, run epr 204.81, run loss 105.00
time 14h 14m 08s, episodes 39445, frames 57980772, run epr 226.65, run loss 112.51

	step 58000000: saved model

time 14h 15m 24s, episodes 39483, frames 58066164, run epr 226.82, run loss 109.07
time 14h 16m 46s, episodes 39525, frames 58159186, run epr 186.11, run loss 75.22
time 14h 18m 09s, episodes 39568, frames 58252291, run epr 180.89, run loss 63.60
time 14h 19m 20s, episodes 39606, frames 58332858, run epr 189.32, run loss 74.46
time 14h 20m 34s, episodes 39645, frames 58415837, run epr 197.14, run loss 93.57
time 14h 21m 54s, episodes 39685, frames 58505880, run epr 192.73, run loss 94.03
time 14h 22m 57s, episodes 39723, frames 58577802, run epr 185.62, run loss 91.31
time 14h 24m 09s, episodes 39761, frames 58660373, run epr 166.27, run loss 63.73
time 14h 25m 36s, episodes 39808, frames 58758208, run epr 171.43, run loss 67.84
time 14h 26m 48s, episodes 39845, frames 58839865, run epr 203.94, run loss 99.44
time 14h 27m 58s, episodes 39882, frames 58918896, run epr 186.26, run loss 78.35
time 14h 29m 10s, episodes 39919, frames 59000295, run epr 184.96, run loss 69.97
time 14h 30m 20s, episodes 39957, frames 59079413, run epr 187.44, run loss 74.67
time 14h 31m 39s, episodes 39998, frames 59168106, run epr 187.49, run loss 77.98
time 14h 32m 43s, episodes 40031, frames 59239467, run epr 198.55, run loss 86.62
time 14h 33m 55s, episodes 40068, frames 59319127, run epr 194.85, run loss 93.37
time 14h 35m 12s, episodes 40107, frames 59405693, run epr 192.25, run loss 91.63
time 14h 36m 27s, episodes 40146, frames 59490444, run epr 210.12, run loss 101.55
time 14h 37m 54s, episodes 40190, frames 59587831, run epr 209.01, run loss 102.94
time 14h 39m 19s, episodes 40233, frames 59682508, run epr 199.88, run loss 107.62
time 14h 40m 43s, episodes 40276, frames 59777492, run epr 199.74, run loss 94.50
time 14h 41m 54s, episodes 40314, frames 59857906, run epr 191.49, run loss 82.49
time 14h 43m 12s, episodes 40356, frames 59946565, run epr 179.23, run loss 61.97

	step 60000000: saved model

time 14h 44m 41s, episodes 40399, frames 60047215, run epr 211.16, run loss 79.94
time 14h 46m 07s, episodes 40444, frames 60144248, run epr 184.42, run loss 47.33
time 14h 47m 14s, episodes 40477, frames 60219583, run epr 178.63, run loss 42.95
time 14h 48m 27s, episodes 40517, frames 60302504, run epr 205.28, run loss 93.48
time 14h 49m 33s, episodes 40550, frames 60376795, run epr 210.86, run loss 99.50
time 14h 50m 55s, episodes 40593, frames 60469518, run epr 200.18, run loss 92.21
time 14h 52m 11s, episodes 40634, frames 60555235, run epr 213.93, run loss 126.24
time 14h 53m 24s, episodes 40670, frames 60636761, run epr 203.55, run loss 100.50
time 14h 54m 41s, episodes 40710, frames 60723811, run epr 192.80, run loss 102.39
time 14h 55m 51s, episodes 40745, frames 60803197, run epr 191.21, run loss 116.63
time 14h 56m 59s, episodes 40782, frames 60880001, run epr 203.15, run loss 111.34
time 14h 58m 22s, episodes 40821, frames 60973650, run epr 216.17, run loss 111.72
time 14h 59m 33s, episodes 40855, frames 61053585, run epr 222.74, run loss 138.69
time 15h 00m 55s, episodes 40901, frames 61145122, run epr 201.30, run loss 102.10
time 15h 02m 12s, episodes 40936, frames 61231691, run epr 204.35, run loss 105.56
time 15h 03m 29s, episodes 40980, frames 61318506, run epr 197.24, run loss 88.81
time 15h 04m 59s, episodes 41026, frames 61419489, run epr 193.42, run loss 105.17
time 15h 06m 06s, episodes 41060, frames 61495988, run epr 196.24, run loss 102.83
time 15h 07m 25s, episodes 41101, frames 61586232, run epr 197.54, run loss 94.20
time 15h 08m 42s, episodes 41139, frames 61673815, run epr 220.16, run loss 120.65
time 15h 10m 01s, episodes 41179, frames 61762213, run epr 215.43, run loss 111.57
time 15h 11m 20s, episodes 41218, frames 61851933, run epr 213.86, run loss 118.60
time 15h 12m 27s, episodes 41254, frames 61927102, run epr 188.55, run loss 100.37

	step 62000000: saved model

time 15h 13m 49s, episodes 41298, frames 62020444, run epr 195.60, run loss 106.66
time 15h 15m 14s, episodes 41338, frames 62115792, run epr 212.20, run loss 123.17
time 15h 16m 30s, episodes 41376, frames 62202424, run epr 192.38, run loss 83.95
time 15h 17m 47s, episodes 41420, frames 62289328, run epr 177.88, run loss 60.35
time 15h 19m 11s, episodes 41462, frames 62384125, run epr 177.84, run loss 62.94
time 15h 20m 31s, episodes 41506, frames 62474495, run epr 168.90, run loss 73.31
time 15h 21m 53s, episodes 41544, frames 62566193, run epr 216.88, run loss 100.92
time 15h 23m 23s, episodes 41590, frames 62668513, run epr 241.31, run loss 136.38
time 15h 24m 49s, episodes 41630, frames 62765191, run epr 237.85, run loss 127.65
time 15h 26m 20s, episodes 41677, frames 62867319, run epr 227.81, run loss 98.77
time 15h 27m 39s, episodes 41714, frames 62957036, run epr 232.30, run loss 110.30
time 15h 28m 55s, episodes 41753, frames 63042746, run epr 208.08, run loss 106.51
time 15h 30m 06s, episodes 41787, frames 63123448, run epr 211.94, run loss 111.98
time 15h 31m 29s, episodes 41833, frames 63216039, run epr 203.09, run loss 125.01
time 15h 32m 41s, episodes 41869, frames 63295598, run epr 201.79, run loss 110.41
time 15h 33m 54s, episodes 41908, frames 63378680, run epr 199.15, run loss 85.97
time 15h 35m 08s, episodes 41944, frames 63462747, run epr 201.57, run loss 79.97
time 15h 36m 25s, episodes 41980, frames 63549766, run epr 203.22, run loss 84.15
time 15h 38m 04s, episodes 42037, frames 63660670, run epr 182.30, run loss 70.11
time 15h 39m 21s, episodes 42074, frames 63748227, run epr 198.83, run loss 73.20
time 15h 40m 34s, episodes 42111, frames 63830597, run epr 189.18, run loss 92.53
time 15h 41m 58s, episodes 42158, frames 63925851, run epr 195.22, run loss 91.93

	step 64000000: saved model

time 15h 43m 06s, episodes 42190, frames 64002377, run epr 194.29, run loss 75.39
time 15h 44m 09s, episodes 42222, frames 64072013, run epr 209.96, run loss 94.75
time 15h 45m 38s, episodes 42268, frames 64173684, run epr 201.31, run loss 88.74
time 15h 46m 39s, episodes 42302, frames 64241562, run epr 202.51, run loss 134.04
time 15h 48m 13s, episodes 42348, frames 64347666, run epr 214.62, run loss 102.58
time 15h 49m 22s, episodes 42383, frames 64424813, run epr 213.22, run loss 100.01
time 15h 50m 48s, episodes 42429, frames 64521724, run epr 208.43, run loss 85.51
time 15h 52m 05s, episodes 42466, frames 64609136, run epr 196.80, run loss 95.05
time 15h 53m 14s, episodes 42505, frames 64687461, run epr 177.96, run loss 64.56
time 15h 54m 25s, episodes 42543, frames 64767811, run epr 176.85, run loss 87.79
time 15h 55m 44s, episodes 42585, frames 64856855, run epr 202.89, run loss 117.72
time 15h 56m 58s, episodes 42619, frames 64940942, run epr 209.28, run loss 113.62
time 15h 58m 17s, episodes 42661, frames 65029732, run epr 214.21, run loss 99.52
time 15h 59m 28s, episodes 42696, frames 65110128, run epr 206.16, run loss 91.84
time 16h 00m 41s, episodes 42732, frames 65192739, run epr 222.39, run loss 119.36
time 16h 02m 09s, episodes 42776, frames 65291579, run epr 226.99, run loss 114.56
time 16h 03m 11s, episodes 42804, frames 65359985, run epr 226.48, run loss 116.21
time 16h 04m 19s, episodes 42844, frames 65437600, run epr 203.05, run loss 93.01
time 16h 05m 24s, episodes 42878, frames 65511287, run epr 197.16, run loss 89.04
time 16h 06m 36s, episodes 42917, frames 65592816, run epr 198.68, run loss 91.13
time 16h 07m 36s, episodes 42952, frames 65661162, run epr 176.38, run loss 82.23
time 16h 09m 14s, episodes 43000, frames 65770619, run epr 178.22, run loss 85.74
time 16h 10m 25s, episodes 43037, frames 65851253, run epr 191.05, run loss 110.11
time 16h 11m 35s, episodes 43078, frames 65930588, run epr 170.05, run loss 72.99

	step 66000000: saved model

time 16h 12m 47s, episodes 43117, frames 66011201, run epr 169.03, run loss 78.51
time 16h 14m 16s, episodes 43162, frames 66113094, run epr 203.74, run loss 103.07
time 16h 15m 35s, episodes 43202, frames 66201909, run epr 219.97, run loss 118.29
time 16h 16m 55s, episodes 43241, frames 66291108, run epr 232.04, run loss 133.63
time 16h 18m 07s, episodes 43279, frames 66372963, run epr 224.25, run loss 122.03
time 16h 19m 32s, episodes 43321, frames 66467297, run epr 219.54, run loss 119.99
time 16h 21m 03s, episodes 43365, frames 66569565, run epr 218.72, run loss 127.20
time 16h 22m 11s, episodes 43402, frames 66646329, run epr 215.44, run loss 109.25
time 16h 23m 25s, episodes 43443, frames 66730551, run epr 215.13, run loss 119.96
time 16h 24m 39s, episodes 43481, frames 66814251, run epr 208.05, run loss 109.61
time 16h 25m 49s, episodes 43515, frames 66894300, run epr 197.75, run loss 88.75
time 16h 27m 13s, episodes 43560, frames 66989509, run epr 190.20, run loss 84.81
time 16h 28m 23s, episodes 43601, frames 67068338, run epr 164.71, run loss 58.74
time 16h 29m 48s, episodes 43642, frames 67164216, run epr 174.54, run loss 59.60
time 16h 31m 09s, episodes 43685, frames 67255958, run epr 178.98, run loss 69.27
time 16h 32m 29s, episodes 43727, frames 67345373, run epr 175.44, run loss 55.12
time 16h 33m 47s, episodes 43772, frames 67432676, run epr 169.93, run loss 62.29
time 16h 34m 56s, episodes 43805, frames 67510607, run epr 183.51, run loss 77.69
time 16h 36m 10s, episodes 43844, frames 67593792, run epr 183.74, run loss 73.61
time 16h 37m 19s, episodes 43884, frames 67671444, run epr 175.32, run loss 72.95
time 16h 38m 25s, episodes 43921, frames 67745976, run epr 184.13, run loss 79.40
time 16h 39m 55s, episodes 43964, frames 67845776, run epr 196.25, run loss 85.26
time 16h 41m 13s, episodes 44004, frames 67933917, run epr 203.81, run loss 94.03

	step 68000000: saved model

time 16h 42m 31s, episodes 44039, frames 68021546, run epr 205.30, run loss 89.46
time 16h 43m 41s, episodes 44076, frames 68101673, run epr 219.76, run loss 105.14
time 16h 45m 19s, episodes 44125, frames 68211173, run epr 226.58, run loss 122.24
time 16h 46m 20s, episodes 44160, frames 68280899, run epr 218.39, run loss 108.82
time 16h 47m 52s, episodes 44210, frames 68384087, run epr 188.28, run loss 83.54
time 16h 49m 22s, episodes 44256, frames 68485851, run epr 187.57, run loss 91.71
time 16h 50m 25s, episodes 44287, frames 68557011, run epr 204.71, run loss 118.94
time 16h 51m 42s, episodes 44324, frames 68643088, run epr 212.06, run loss 108.86
time 16h 52m 53s, episodes 44366, frames 68723332, run epr 187.74, run loss 87.80
time 16h 54m 12s, episodes 44402, frames 68812488, run epr 194.34, run loss 93.68
time 16h 55m 35s, episodes 44442, frames 68906938, run epr 214.13, run loss 99.58
time 16h 57m 07s, episodes 44490, frames 69010057, run epr 207.00, run loss 82.94
time 16h 58m 42s, episodes 44540, frames 69117624, run epr 224.51, run loss 97.67
time 16h 59m 58s, episodes 44578, frames 69202636, run epr 204.59, run loss 88.52
time 17h 01m 08s, episodes 44612, frames 69280913, run epr 194.93, run loss 94.77
time 17h 02m 26s, episodes 44655, frames 69367636, run epr 198.20, run loss 95.18
time 17h 04m 06s, episodes 44706, frames 69480166, run epr 217.43, run loss 94.48
time 17h 05m 31s, episodes 44749, frames 69575846, run epr 215.93, run loss 101.11
time 17h 06m 52s, episodes 44791, frames 69666386, run epr 213.19, run loss 107.97
time 17h 08m 20s, episodes 44836, frames 69765399, run epr 195.46, run loss 88.73
time 17h 09m 40s, episodes 44874, frames 69854932, run epr 210.04, run loss 97.13
time 17h 11m 04s, episodes 44922, frames 69949927, run epr 187.94, run loss 91.77

	step 70000000: saved model

time 17h 12m 16s, episodes 44958, frames 70030081, run epr 195.73, run loss 104.30
time 17h 13m 25s, episodes 44993, frames 70108008, run epr 186.29, run loss 73.49
time 17h 14m 42s, episodes 45033, frames 70193982, run epr 201.49, run loss 94.23
time 17h 16m 01s, episodes 45068, frames 70282987, run epr 222.82, run loss 102.49
time 17h 17m 27s, episodes 45109, frames 70379652, run epr 227.08, run loss 115.69
time 17h 18m 58s, episodes 45157, frames 70481101, run epr 218.96, run loss 106.32
time 17h 20m 19s, episodes 45201, frames 70571820, run epr 204.56, run loss 96.65
time 17h 21m 36s, episodes 45241, frames 70658054, run epr 219.87, run loss 110.69
time 17h 22m 45s, episodes 45272, frames 70734567, run epr 210.15, run loss 101.69
time 17h 24m 06s, episodes 45315, frames 70825859, run epr 209.34, run loss 100.63
time 17h 25m 08s, episodes 45349, frames 70895735, run epr 213.31, run loss 97.02
time 17h 26m 34s, episodes 45393, frames 70993878, run epr 215.23, run loss 100.83
time 17h 27m 41s, episodes 45429, frames 71068645, run epr 209.02, run loss 95.41
time 17h 28m 58s, episodes 45470, frames 71156138, run epr 213.44, run loss 121.89
time 17h 30m 11s, episodes 45506, frames 71238758, run epr 205.66, run loss 103.33
time 17h 31m 30s, episodes 45549, frames 71327111, run epr 189.39, run loss 82.25
time 17h 32m 47s, episodes 45586, frames 71412093, run epr 203.64, run loss 97.06
time 17h 34m 08s, episodes 45629, frames 71503646, run epr 199.26, run loss 94.55
time 17h 35m 28s, episodes 45668, frames 71594002, run epr 205.29, run loss 105.51
time 17h 36m 57s, episodes 45713, frames 71695316, run epr 206.97, run loss 99.78
time 17h 38m 07s, episodes 45750, frames 71773890, run epr 201.35, run loss 96.30
time 17h 39m 32s, episodes 45793, frames 71870311, run epr 209.90, run loss 86.63
time 17h 41m 11s, episodes 45843, frames 71982473, run epr 221.10, run loss 78.42

	step 72000000: saved model

time 17h 42m 24s, episodes 45881, frames 72063801, run epr 217.84, run loss 100.08
time 17h 43m 45s, episodes 45919, frames 72155712, run epr 237.99, run loss 124.08
time 17h 45m 03s, episodes 45958, frames 72244314, run epr 214.49, run loss 82.51
time 17h 46m 28s, episodes 46002, frames 72341831, run epr 227.46, run loss 106.54
time 17h 47m 56s, episodes 46048, frames 72440825, run epr 213.32, run loss 90.90
time 17h 49m 21s, episodes 46089, frames 72537331, run epr 217.71, run loss 101.75
time 17h 50m 39s, episodes 46131, frames 72625288, run epr 215.29, run loss 99.57
time 17h 52m 09s, episodes 46179, frames 72727790, run epr 183.44, run loss 80.94
time 17h 53m 34s, episodes 46223, frames 72824490, run epr 197.59, run loss 92.96
time 17h 55m 04s, episodes 46266, frames 72925534, run epr 223.25, run loss 134.32
time 17h 56m 22s, episodes 46306, frames 73013513, run epr 222.95, run loss 121.78
time 17h 57m 45s, episodes 46345, frames 73106325, run epr 216.40, run loss 113.44
time 17h 59m 05s, episodes 46385, frames 73196158, run epr 209.53, run loss 104.54
time 18h 00m 28s, episodes 46429, frames 73289443, run epr 209.07, run loss 117.84
time 18h 01m 48s, episodes 46470, frames 73379580, run epr 213.42, run loss 114.16
time 18h 03m 14s, episodes 46511, frames 73472977, run epr 202.16, run loss 96.94
time 18h 04m 21s, episodes 46545, frames 73547940, run epr 222.11, run loss 118.38
time 18h 05m 51s, episodes 46590, frames 73648214, run epr 208.07, run loss 89.69
time 18h 07m 22s, episodes 46633, frames 73748836, run epr 218.42, run loss 102.31
time 18h 08m 38s, episodes 46672, frames 73834123, run epr 207.66, run loss 89.10
time 18h 09m 59s, episodes 46713, frames 73924685, run epr 197.08, run loss 78.44

	step 74000000: saved model

time 18h 11m 20s, episodes 46754, frames 74014984, run epr 195.91, run loss 95.31
time 18h 12m 31s, episodes 46791, frames 74094595, run epr 209.68, run loss 118.06
time 18h 14m 03s, episodes 46835, frames 74197716, run epr 228.80, run loss 129.72
time 18h 15m 16s, episodes 46875, frames 74280440, run epr 217.30, run loss 112.35
time 18h 16m 32s, episodes 46913, frames 74366506, run epr 207.05, run loss 95.51
time 18h 17m 58s, episodes 46953, frames 74462634, run epr 225.64, run loss 111.00
time 18h 19m 00s, episodes 46986, frames 74532573, run epr 221.45, run loss 91.01
time 18h 20m 16s, episodes 47026, frames 74618758, run epr 200.22, run loss 88.23
time 18h 21m 32s, episodes 47066, frames 74704871, run epr 206.97, run loss 97.76
time 18h 23m 24s, episodes 47121, frames 74830887, run epr 216.40, run loss 92.10
time 18h 24m 36s, episodes 47159, frames 74911797, run epr 230.08, run loss 119.06
time 18h 25m 56s, episodes 47196, frames 75001866, run epr 225.74, run loss 115.57
time 18h 27m 16s, episodes 47236, frames 75092656, run epr 218.06, run loss 105.77
time 18h 28m 32s, episodes 47275, frames 75178793, run epr 232.40, run loss 114.21
time 18h 29m 54s, episodes 47317, frames 75270652, run epr 222.53, run loss 126.16
time 18h 31m 10s, episodes 47351, frames 75355872, run epr 228.43, run loss 138.43
time 18h 32m 28s, episodes 47388, frames 75442627, run epr 244.15, run loss 157.91
time 18h 33m 43s, episodes 47426, frames 75526714, run epr 234.09, run loss 122.44
time 18h 35m 00s, episodes 47465, frames 75611700, run epr 221.82, run loss 98.56
time 18h 36m 13s, episodes 47505, frames 75694335, run epr 207.22, run loss 93.47
time 18h 37m 25s, episodes 47542, frames 75774969, run epr 213.87, run loss 101.58
time 18h 38m 31s, episodes 47573, frames 75849170, run epr 218.51, run loss 103.28
time 18h 39m 47s, episodes 47612, frames 75933937, run epr 243.36, run loss 113.51

	step 76000000: saved model

time 18h 41m 00s, episodes 47647, frames 76014638, run epr 237.13, run loss 108.27
time 18h 42m 45s, episodes 47705, frames 76133041, run epr 202.48, run loss 101.48
time 18h 44m 28s, episodes 47756, frames 76248723, run epr 208.08, run loss 100.13
time 18h 45m 39s, episodes 47793, frames 76328547, run epr 190.07, run loss 94.57
time 18h 46m 52s, episodes 47823, frames 76411062, run epr 215.40, run loss 99.81
time 18h 47m 52s, episodes 47860, frames 76479087, run epr 203.33, run loss 97.24
time 18h 49m 19s, episodes 47903, frames 76575706, run epr 210.99, run loss 104.77
time 18h 50m 46s, episodes 47942, frames 76673707, run epr 230.86, run loss 111.14
time 18h 52m 23s, episodes 47996, frames 76781865, run epr 235.14, run loss 108.82
time 18h 53m 37s, episodes 48034, frames 76863965, run epr 193.52, run loss 74.27
time 18h 54m 42s, episodes 48067, frames 76935692, run epr 185.21, run loss 68.09
time 18h 56m 11s, episodes 48115, frames 77036505, run epr 186.65, run loss 60.84
time 18h 57m 34s, episodes 48154, frames 77129309, run epr 206.75, run loss 94.48
time 18h 58m 45s, episodes 48187, frames 77208853, run epr 223.01, run loss 98.93
time 19h 00m 15s, episodes 48237, frames 77310270, run epr 202.84, run loss 109.26
time 19h 01m 15s, episodes 48264, frames 77377580, run epr 212.68, run loss 128.43
time 19h 02m 31s, episodes 48304, frames 77461690, run epr 199.10, run loss 95.86
time 19h 03m 41s, episodes 48345, frames 77539967, run epr 187.84, run loss 90.44
time 19h 04m 51s, episodes 48379, frames 77618547, run epr 201.92, run loss 89.90
time 19h 06m 04s, episodes 48417, frames 77700284, run epr 201.07, run loss 100.10
time 19h 07m 31s, episodes 48459, frames 77798235, run epr 201.52, run loss 98.39
time 19h 09m 03s, episodes 48508, frames 77901853, run epr 218.26, run loss 89.72
time 19h 10m 19s, episodes 48543, frames 77985900, run epr 235.77, run loss 113.12

	step 78000000: saved model

time 19h 11m 37s, episodes 48579, frames 78074322, run epr 239.63, run loss 128.28
time 19h 12m 57s, episodes 48622, frames 78164973, run epr 223.42, run loss 99.85
time 19h 14m 31s, episodes 48669, frames 78270431, run epr 238.07, run loss 137.64
time 19h 15m 50s, episodes 48709, frames 78360106, run epr 252.06, run loss 117.80
time 19h 17m 04s, episodes 48744, frames 78444036, run epr 247.15, run loss 117.31
time 19h 18m 06s, episodes 48778, frames 78514305, run epr 243.75, run loss 112.47
time 19h 19m 25s, episodes 48814, frames 78602609, run epr 224.28, run loss 96.84
time 19h 20m 39s, episodes 48852, frames 78685433, run epr 221.21, run loss 107.95
time 19h 21m 57s, episodes 48894, frames 78774013, run epr 214.69, run loss 109.47
time 19h 23m 14s, episodes 48938, frames 78860161, run epr 171.79, run loss 81.49
time 19h 24m 19s, episodes 48974, frames 78932732, run epr 183.53, run loss 79.48
time 19h 25m 41s, episodes 49017, frames 79025465, run epr 191.93, run loss 94.10
time 19h 27m 04s, episodes 49063, frames 79119072, run epr 213.10, run loss 111.46
time 19h 28m 24s, episodes 49101, frames 79209189, run epr 211.45, run loss 93.57
time 19h 29m 49s, episodes 49142, frames 79303349, run epr 211.43, run loss 80.88
time 19h 31m 11s, episodes 49183, frames 79394901, run epr 216.61, run loss 80.88
time 19h 32m 36s, episodes 49225, frames 79490217, run epr 216.59, run loss 90.64
time 19h 34m 12s, episodes 49275, frames 79598812, run epr 218.99, run loss 107.20
time 19h 35m 46s, episodes 49321, frames 79704531, run epr 217.15, run loss 98.69
time 19h 37m 03s, episodes 49363, frames 79790361, run epr 201.60, run loss 97.10
time 19h 38m 30s, episodes 49407, frames 79889162, run epr 202.26, run loss 103.87
time 19h 39m 43s, episodes 49443, frames 79970876, run epr 197.61, run loss 87.45

	step 80000000: saved model
