time 03h 04m 04s, episodes 8465, frames 7245727, run epr 578.91, run loss 433.68
time 03h 05m 07s, episodes 8516, frames 7291798, run epr 605.01, run loss 470.22
time 03h 06m 29s, episodes 8588, frames 7352767, run epr 550.03, run loss 425.35
time 03h 07m 38s, episodes 8644, frames 7403027, run epr 548.15, run loss 361.99
time 03h 08m 49s, episodes 8701, frames 7455052, run epr 561.30, run loss 412.88
time 03h 10m 04s, episodes 8767, frames 7510505, run epr 571.43, run loss 425.25
time 03h 11m 11s, episodes 8826, frames 7559724, run epr 597.30, run loss 404.05
time 03h 12m 33s, episodes 8898, frames 7619904, run epr 566.19, run loss 425.95
time 03h 13m 48s, episodes 8958, frames 7675186, run epr 577.59, run loss 441.59
time 03h 14m 57s, episodes 9019, frames 7726442, run epr 617.56, run loss 508.16
time 03h 16m 03s, episodes 9072, frames 7775026, run epr 632.69, run loss 519.12
time 03h 17m 09s, episodes 9125, frames 7823133, run epr 595.36, run loss 460.07
time 03h 18m 18s, episodes 9180, frames 7871863, run epr 591.55, run loss 478.31
time 03h 19m 28s, episodes 9237, frames 7923345, run epr 565.16, run loss 471.83
time 03h 20m 44s, episodes 9306, frames 7979757, run epr 600.28, run loss 450.70

	step 8000000: saved model

time 03h 22m 02s, episodes 9370, frames 8036920, run epr 532.01, run loss 450.15
time 03h 23m 03s, episodes 9424, frames 8082178, run epr 563.49, run loss 443.91
time 03h 24m 10s, episodes 9481, frames 8131066, run epr 544.39, run loss 445.59
time 03h 25m 16s, episodes 9538, frames 8179665, run epr 611.51, run loss 453.37
time 03h 26m 22s, episodes 9593, frames 8228803, run epr 564.03, run loss 428.23
time 03h 27m 40s, episodes 9658, frames 8287030, run epr 559.39, run loss 416.15
time 03h 28m 54s, episodes 9722, frames 8341965, run epr 645.45, run loss 465.74
time 03h 29m 58s, episodes 9773, frames 8389217, run epr 611.60, run loss 459.39
time 03h 31m 05s, episodes 9834, frames 8439105, run epr 624.06, run loss 463.43
time 03h 32m 22s, episodes 9895, frames 8493720, run epr 600.85, run loss 433.62
time 03h 33m 30s, episodes 9949, frames 8543007, run epr 579.36, run loss 454.67
time 03h 34m 37s, episodes 10010, frames 8591806, run epr 598.28, run loss 470.92
time 03h 35m 47s, episodes 10066, frames 8644253, run epr 630.78, run loss 457.34
time 03h 36m 53s, episodes 10125, frames 8692911, run epr 642.32, run loss 485.10
time 03h 38m 06s, episodes 10181, frames 8746726, run epr 646.58, run loss 481.27
time 03h 39m 24s, episodes 10245, frames 8804639, run epr 638.59, run loss 475.04
time 03h 40m 28s, episodes 10303, frames 8851655, run epr 574.40, run loss 432.12
time 03h 41m 38s, episodes 10363, frames 8904477, run epr 564.59, run loss 458.91
time 03h 42m 57s, episodes 10429, frames 8962833, run epr 633.01, run loss 437.97
time 03h 44m 21s, episodes 10502, frames 9024537, run epr 607.32, run loss 490.67
time 03h 45m 24s, episodes 10553, frames 9071278, run epr 591.65, run loss 440.76
time 03h 46m 37s, episodes 10613, frames 9125973, run epr 627.17, run loss 481.32
time 03h 47m 48s, episodes 10672, frames 9176417, run epr 590.94, run loss 433.85
time 03h 49m 16s, episodes 10748, frames 9242141, run epr 586.67, run loss 433.86
time 03h 50m 24s, episodes 10805, frames 9292660, run epr 578.13, run loss 455.53
time 03h 51m 46s, episodes 10874, frames 9353454, run epr 596.20, run loss 431.12
time 03h 53m 01s, episodes 10937, frames 9408498, run epr 636.91, run loss 466.24
time 03h 54m 01s, episodes 10988, frames 9453089, run epr 617.69, run loss 473.62
time 03h 55m 17s, episodes 11051, frames 9509106, run epr 606.06, run loss 453.94
time 03h 56m 27s, episodes 11112, frames 9561057, run epr 548.22, run loss 424.89
time 03h 57m 29s, episodes 11165, frames 9607749, run epr 600.29, run loss 439.74
time 03h 58m 50s, episodes 11234, frames 9668213, run epr 626.01, run loss 443.44
time 03h 59m 58s, episodes 11295, frames 9719399, run epr 609.56, run loss 426.23
time 04h 01m 08s, episodes 11356, frames 9771158, run epr 593.43, run loss 448.87
time 04h 02m 29s, episodes 11421, frames 9828037, run epr 562.12, run loss 417.60
time 04h 03m 47s, episodes 11488, frames 9886727, run epr 515.03, run loss 401.51
time 04h 05m 03s, episodes 11551, frames 9943173, run epr 522.32, run loss 418.83
time 04h 06m 09s, episodes 11608, frames 9992467, run epr 503.70, run loss 391.85

	step 10000000: saved model

time 04h 07m 36s, episodes 11688, frames 10057613, run epr 568.37, run loss 419.55
time 04h 08m 37s, episodes 11740, frames 10102836, run epr 576.03, run loss 422.31
time 04h 09m 42s, episodes 11796, frames 10151720, run epr 542.97, run loss 405.80
time 04h 10m 46s, episodes 11850, frames 10199288, run epr 530.70, run loss 417.75
time 04h 11m 53s, episodes 11906, frames 10249533, run epr 513.42, run loss 423.42
time 04h 12m 59s, episodes 11967, frames 10298769, run epr 519.15, run loss 440.14
time 04h 14m 23s, episodes 12040, frames 10362147, run epr 548.55, run loss 451.97
time 04h 15m 48s, episodes 12109, frames 10425623, run epr 532.19, run loss 428.67
time 04h 17m 00s, episodes 12171, frames 10477014, run epr 547.20, run loss 424.57
time 04h 18m 04s, episodes 12224, frames 10524795, run epr 567.00, run loss 432.67
time 04h 19m 18s, episodes 12287, frames 10580746, run epr 564.24, run loss 434.46
time 04h 20m 24s, episodes 12347, frames 10629801, run epr 569.68, run loss 453.73
time 04h 21m 35s, episodes 12405, frames 10683293, run epr 539.76, run loss 430.96
time 04h 22m 39s, episodes 12460, frames 10731103, run epr 554.62, run loss 442.62
time 04h 23m 46s, episodes 12517, frames 10781787, run epr 550.01, run loss 440.19
time 04h 24m 52s, episodes 12575, frames 10831434, run epr 567.76, run loss 428.01
time 04h 25m 57s, episodes 12630, frames 10879914, run epr 557.59, run loss 406.14
time 04h 27m 09s, episodes 12692, frames 10934090, run epr 621.21, run loss 433.87
time 04h 28m 17s, episodes 12751, frames 10985821, run epr 602.07, run loss 408.20
time 04h 29m 29s, episodes 12812, frames 11040106, run epr 654.28, run loss 454.65
time 04h 30m 44s, episodes 12876, frames 11095491, run epr 568.77, run loss 457.14
time 04h 31m 57s, episodes 12937, frames 11146466, run epr 542.93, run loss 423.61
