
time 01h 56m 22s, episodes 9401, frames 7.2M, run epr 370.47, run loss 52.38
time 01h 57m 36s, episodes 9486, frames 7.3M, run epr 374.67, run loss 52.55
time 01h 58m 38s, episodes 9559, frames 7.3M, run epr 392.34, run loss 55.94
time 01h 59m 50s, episodes 9645, frames 7.4M, run epr 373.49, run loss 48.65
time 02h 01m 06s, episodes 9737, frames 7.5M, run epr 368.85, run loss 48.43
time 02h 02m 11s, episodes 9823, frames 7.6M, run epr 364.43, run loss 49.35
time 02h 03m 13s, episodes 9900, frames 7.6M, run epr 364.32, run loss 48.71
time 02h 04m 14s, episodes 9962, frames 7.7M, run epr 377.56, run loss 47.86
time 02h 05m 24s, episodes 10055, frames 7.7M, run epr 354.05, run loss 42.28
time 02h 06m 26s, episodes 10130, frames 7.8M, run epr 350.37, run loss 39.63
time 02h 07m 36s, episodes 10224, frames 7.9M, run epr 335.20, run loss 40.34
time 02h 08m 49s, episodes 10310, frames 8.0M, run epr 368.88, run loss 41.52

	8M frames: saved model

time 02h 09m 55s, episodes 10384, frames 8.0M, run epr 363.28, run loss 41.73
time 02h 11m 10s, episodes 10471, frames 8.1M, run epr 387.54, run loss 46.90
time 02h 12m 20s, episodes 10554, frames 8.2M, run epr 375.19, run loss 48.93
time 02h 13m 26s, episodes 10636, frames 8.2M, run epr 369.31, run loss 50.05
time 02h 14m 29s, episodes 10711, frames 8.3M, run epr 362.97, run loss 45.94
time 02h 15m 30s, episodes 10793, frames 8.4M, run epr 355.54, run loss 47.72
time 02h 16m 39s, episodes 10881, frames 8.4M, run epr 349.73, run loss 41.62
time 02h 17m 53s, episodes 10969, frames 8.5M, run epr 361.37, run loss 44.70
time 02h 18m 59s, episodes 11051, frames 8.6M, run epr 363.67, run loss 46.32
time 02h 20m 11s, episodes 11143, frames 8.6M, run epr 360.87, run loss 39.82
time 02h 21m 28s, episodes 11237, frames 8.7M, run epr 369.60, run loss 39.61
time 02h 22m 34s, episodes 11317, frames 8.8M, run epr 375.98, run loss 46.33
time 02h 23m 38s, episodes 11392, frames 8.9M, run epr 352.05, run loss 38.03
time 02h 24m 50s, episodes 11481, frames 8.9M, run epr 366.84, run loss 43.25
time 02h 25m 57s, episodes 11554, frames 9.0M, run epr 378.45, run loss 43.14
time 02h 27m 05s, episodes 11636, frames 9.1M, run epr 404.27, run loss 47.48
time 02h 28m 14s, episodes 11715, frames 9.1M, run epr 409.66, run loss 50.19
time 02h 29m 21s, episodes 11796, frames 9.2M, run epr 409.35, run loss 43.94
time 02h 30m 26s, episodes 11872, frames 9.3M, run epr 400.01, run loss 44.71
time 02h 31m 39s, episodes 11962, frames 9.3M, run epr 377.86, run loss 43.80
time 02h 32m 45s, episodes 12045, frames 9.4M, run epr 384.74, run loss 44.73
time 02h 34m 01s, episodes 12136, frames 9.5M, run epr 385.67, run loss 43.26
time 02h 35m 07s, episodes 12216, frames 9.6M, run epr 366.21, run loss 44.02
time 02h 36m 11s, episodes 12293, frames 9.6M, run epr 375.55, run loss 41.99
