
time 01h 53m 08s, episodes 3104, frames 8.8M, mean epr 17.49, run loss -38.83
time 01h 54m 08s, episodes 3139, frames 8.9M, mean epr 17.59, run loss -39.24
time 01h 55m 08s, episodes 3167, frames 9.0M, mean epr 17.62, run loss -39.99
time 01h 56m 08s, episodes 3200, frames 9.1M, mean epr 17.48, run loss -40.16
time 01h 57m 08s, episodes 3227, frames 9.2M, mean epr 17.25, run loss -40.69
time 01h 58m 08s, episodes 3257, frames 9.2M, mean epr 17.27, run loss -41.56
time 01h 59m 08s, episodes 3289, frames 9.3M, mean epr 17.19, run loss -40.37
time 02h 00m 08s, episodes 3320, frames 9.4M, mean epr 17.27, run loss -41.72
time 02h 01m 08s, episodes 3350, frames 9.5M, mean epr 17.26, run loss -41.15
time 02h 02m 09s, episodes 3380, frames 9.6M, mean epr 17.29, run loss -39.18
time 02h 03m 09s, episodes 3414, frames 9.6M, mean epr 17.57, run loss -40.30
time 02h 04m 09s, episodes 3443, frames 9.7M, mean epr 17.67, run loss -40.54
time 02h 05m 09s, episodes 3476, frames 9.8M, mean epr 17.51, run loss -43.20
time 02h 06m 09s, episodes 3510, frames 9.9M, mean epr 17.90, run loss -40.39
time 02h 07m 09s, episodes 3540, frames 10.0M, mean epr 17.78, run loss -40.47

	10M frames: saved model

time 02h 08m 09s, episodes 3572, frames 10.1M, mean epr 17.75, run loss -41.51
time 02h 09m 09s, episodes 3603, frames 10.1M, mean epr 17.60, run loss -43.26
time 02h 10m 09s, episodes 3635, frames 10.2M, mean epr 17.37, run loss -43.59
time 02h 11m 09s, episodes 3662, frames 10.3M, mean epr 17.27, run loss -41.51
time 02h 12m 09s, episodes 3695, frames 10.4M, mean epr 17.18, run loss -41.43
time 02h 13m 09s, episodes 3724, frames 10.5M, mean epr 17.25, run loss -42.16
time 02h 14m 09s, episodes 3752, frames 10.5M, mean epr 16.48, run loss -44.47
time 02h 15m 09s, episodes 3780, frames 10.6M, mean epr 16.73, run loss -42.19
time 02h 16m 09s, episodes 3813, frames 10.7M, mean epr 16.82, run loss -42.16
time 02h 17m 10s, episodes 3840, frames 10.8M, mean epr 16.98, run loss -41.08
time 02h 18m 10s, episodes 3874, frames 10.9M, mean epr 17.05, run loss -41.92
time 02h 19m 10s, episodes 3904, frames 11.0M, mean epr 17.05, run loss -43.08
time 02h 20m 10s, episodes 3934, frames 11.0M, mean epr 17.21, run loss -40.57
time 02h 21m 10s, episodes 3967, frames 11.1M, mean epr 17.36, run loss -40.19
time 02h 22m 10s, episodes 3995, frames 11.2M, mean epr 17.38, run loss -39.68
time 02h 23m 10s, episodes 4029, frames 11.3M, mean epr 17.42, run loss -42.04
time 02h 24m 10s, episodes 4059, frames 11.4M, mean epr 17.58, run loss -40.50
time 02h 25m 10s, episodes 4093, frames 11.5M, mean epr 17.69, run loss -41.45
time 02h 26m 10s, episodes 4123, frames 11.5M, mean epr 17.86, run loss -40.32
time 02h 27m 10s, episodes 4153, frames 11.6M, mean epr 17.54, run loss -42.37
time 02h 28m 10s, episodes 4184, frames 11.7M, mean epr 17.59, run loss -42.16
time 02h 29m 10s, episodes 4214, frames 11.8M, mean epr 17.41, run loss -42.38
time 02h 30m 11s, episodes 4242, frames 11.9M, mean epr 17.16, run loss -43.25
time 02h 31m 11s, episodes 4275, frames 12.0M, mean epr 17.14, run loss -43.09

	12M frames: saved model

time 02h 32m 11s, episodes 4306, frames 12.0M, mean epr 17.36, run loss -42.34
time 02h 33m 11s, episodes 4340, frames 12.1M, mean epr 17.70, run loss -41.62
time 02h 34m 11s, episodes 4371, frames 12.2M, mean epr 17.70, run loss -40.95
time 02h 35m 11s, episodes 4403, frames 12.3M, mean epr 17.56, run loss -42.23
time 02h 36m 11s, episodes 4432, frames 12.4M, mean epr 17.68, run loss -40.82
time 02h 37m 11s, episodes 4464, frames 12.5M, mean epr 17.56, run loss -42.50
time 02h 38m 11s, episodes 4495, frames 12.5M, mean epr 17.58, run loss -41.30
time 02h 39m 11s, episodes 4525, frames 12.6M, mean epr 17.46, run loss -40.96
time 02h 40m 11s, episodes 4557, frames 12.7M, mean epr 17.58, run loss -41.25
time 02h 41m 11s, episodes 4587, frames 12.8M, mean epr 17.32, run loss -43.59
time 02h 42m 11s, episodes 4614, frames 12.9M, mean epr 17.21, run loss -43.80
time 02h 43m 11s, episodes 4646, frames 13.0M, mean epr 17.18, run loss -43.11
time 02h 44m 11s, episodes 4677, frames 13.0M, mean epr 17.14, run loss -44.25
time 02h 45m 11s, episodes 4709, frames 13.1M, mean epr 17.34, run loss -42.93
time 02h 46m 11s, episodes 4738, frames 13.2M, mean epr 17.25, run loss -45.01
time 02h 47m 11s, episodes 4771, frames 13.3M, mean epr 17.43, run loss -42.06
time 02h 48m 11s, episodes 4801, frames 13.4M, mean epr 17.22, run loss -43.67
time 02h 49m 11s, episodes 4832, frames 13.4M, mean epr 17.29, run loss -43.56
time 02h 50m 11s, episodes 4862, frames 13.5M, mean epr 17.15, run loss -42.48
time 02h 51m 12s, episodes 4893, frames 13.6M, mean epr 17.23, run loss -42.92
time 02h 52m 12s, episodes 4924, frames 13.7M, mean epr 17.51, run loss -41.52
time 02h 53m 12s, episodes 4956, frames 13.8M, mean epr 17.61, run loss -40.92
time 02h 54m 12s, episodes 4988, frames 13.9M, mean epr 17.69, run loss -41.24
time 02h 55m 12s, episodes 5019, frames 13.9M, mean epr 17.60, run loss -41.83

	14M frames: saved model

time 02h 56m 12s, episodes 5048, frames 14.0M, mean epr 17.39, run loss -41.89
time 02h 57m 12s, episodes 5081, frames 14.1M, mean epr 17.23, run loss -44.04
time 02h 58m 12s, episodes 5113, frames 14.2M, mean epr 17.34, run loss -43.62
time 02h 59m 12s, episodes 5142, frames 14.3M, mean epr 17.42, run loss -44.32
time 03h 00m 12s, episodes 5172, frames 14.4M, mean epr 17.44, run loss -42.19
time 03h 01m 12s, episodes 5206, frames 14.4M, mean epr 17.63, run loss -41.92
time 03h 02m 12s, episodes 5235, frames 14.5M, mean epr 17.72, run loss -41.88
time 03h 03m 12s, episodes 5268, frames 14.6M, mean epr 17.87, run loss -41.50
time 03h 04m 12s, episodes 5299, frames 14.7M, mean epr 17.82, run loss -41.70
time 03h 05m 12s, episodes 5331, frames 14.8M, mean epr 17.76, run loss -43.44
time 03h 06m 12s, episodes 5361, frames 14.9M, mean epr 17.40, run loss -43.49
time 03h 07m 12s, episodes 5393, frames 14.9M, mean epr 17.33, run loss -42.41
time 03h 08m 13s, episodes 5424, frames 15.0M, mean epr 17.61, run loss -40.12
time 03h 09m 13s, episodes 5457, frames 15.1M, mean epr 17.73, run loss -41.18
time 03h 10m 13s, episodes 5488, frames 15.2M, mean epr 17.76, run loss -41.07
time 03h 11m 13s, episodes 5520, frames 15.3M, mean epr 17.42, run loss -41.85
time 03h 12m 13s, episodes 5546, frames 15.3M, mean epr 17.39, run loss -42.97
time 03h 13m 13s, episodes 5580, frames 15.4M, mean epr 17.45, run loss -42.58
time 03h 14m 13s, episodes 5608, frames 15.5M, mean epr 17.40, run loss -43.82
time 03h 15m 13s, episodes 5641, frames 15.6M, mean epr 17.47, run loss -43.34
time 03h 16m 13s, episodes 5669, frames 15.7M, mean epr 17.51, run loss -43.45
time 03h 17m 13s, episodes 5705, frames 15.8M, mean epr 17.70, run loss -41.80
time 03h 18m 13s, episodes 5735, frames 15.8M, mean epr 17.60, run loss -40.23
time 03h 19m 13s, episodes 5766, frames 15.9M, mean epr 17.48, run loss -41.59

	16M frames: saved model

time 03h 20m 13s, episodes 5798, frames 16.0M, mean epr 17.75, run loss -39.96
time 03h 21m 13s, episodes 5831, frames 16.1M, mean epr 17.92, run loss -40.85
time 03h 22m 13s, episodes 5863, frames 16.2M, mean epr 17.92, run loss -41.25
time 03h 23m 13s, episodes 5895, frames 16.3M, mean epr 17.92, run loss -41.11
time 03h 24m 13s, episodes 5927, frames 16.3M, mean epr 17.91, run loss -42.03
time 03h 25m 13s, episodes 5961, frames 16.4M, mean epr 18.03, run loss -41.46
time 03h 26m 13s, episodes 5994, frames 16.5M, mean epr 17.91, run loss -43.29
time 03h 27m 13s, episodes 6023, frames 16.6M, mean epr 17.72, run loss -42.94
time 03h 28m 13s, episodes 6055, frames 16.7M, mean epr 17.71, run loss -43.92
time 03h 29m 13s, episodes 6087, frames 16.7M, mean epr 17.71, run loss -42.93
time 03h 30m 14s, episodes 6117, frames 16.8M, mean epr 17.76, run loss -43.86
time 03h 31m 14s, episodes 6152, frames 16.9M, mean epr 18.04, run loss -41.70
time 03h 32m 14s, episodes 6179, frames 17.0M, mean epr 17.95, run loss -43.22
time 03h 33m 14s, episodes 6213, frames 17.1M, mean epr 17.69, run loss -42.74
time 03h 34m 14s, episodes 6241, frames 17.2M, mean epr 17.49, run loss -44.03
time 03h 35m 14s, episodes 6275, frames 17.2M, mean epr 17.37, run loss -44.55
time 03h 36m 14s, episodes 6304, frames 17.3M, mean epr 17.41, run loss -44.59
time 03h 37m 14s, episodes 6335, frames 17.4M, mean epr 17.06, run loss -44.52
time 03h 38m 14s, episodes 6364, frames 17.5M, mean epr 17.01, run loss -43.66
time 03h 39m 14s, episodes 6399, frames 17.6M, mean epr 16.97, run loss -44.96
