
time 02h 12m 08s, episodes 11908, frames 9.8M, mean epr 371.42, run loss 70.62
time 02h 13m 09s, episodes 11995, frames 9.9M, mean epr 379.94, run loss 73.17
time 02h 14m 09s, episodes 12074, frames 9.9M, mean epr 399.38, run loss 74.63

	10M frames: saved model

time 02h 15m 09s, episodes 12159, frames 10.0M, mean epr 388.73, run loss 72.56
time 02h 16m 09s, episodes 12241, frames 10.1M, mean epr 390.24, run loss 74.85
time 02h 17m 09s, episodes 12308, frames 10.1M, mean epr 366.92, run loss 63.50
time 02h 18m 09s, episodes 12379, frames 10.2M, mean epr 359.72, run loss 66.59
time 02h 19m 09s, episodes 12461, frames 10.3M, mean epr 361.78, run loss 68.63
time 02h 20m 10s, episodes 12552, frames 10.3M, mean epr 350.00, run loss 62.07
time 02h 21m 10s, episodes 12637, frames 10.4M, mean epr 344.46, run loss 61.89
time 02h 22m 10s, episodes 12718, frames 10.5M, mean epr 368.03, run loss 63.56
time 02h 23m 10s, episodes 12807, frames 10.5M, mean epr 362.92, run loss 64.94
time 02h 24m 10s, episodes 12891, frames 10.6M, mean epr 352.67, run loss 64.77
time 02h 25m 10s, episodes 12973, frames 10.7M, mean epr 358.38, run loss 65.29
time 02h 26m 10s, episodes 13055, frames 10.8M, mean epr 371.94, run loss 69.67
time 02h 27m 10s, episodes 13138, frames 10.8M, mean epr 372.36, run loss 68.17
time 02h 28m 10s, episodes 13215, frames 10.9M, mean epr 361.79, run loss 62.74
time 02h 29m 10s, episodes 13302, frames 11.0M, mean epr 364.19, run loss 56.57
time 02h 30m 10s, episodes 13395, frames 11.0M, mean epr 342.59, run loss 59.27
time 02h 31m 10s, episodes 13475, frames 11.1M, mean epr 376.54, run loss 67.02
time 02h 32m 10s, episodes 13551, frames 11.2M, mean epr 382.16, run loss 62.75
time 02h 33m 10s, episodes 13636, frames 11.3M, mean epr 385.92, run loss 59.51
time 02h 34m 10s, episodes 13718, frames 11.3M, mean epr 388.10, run loss 65.01
time 02h 35m 11s, episodes 13796, frames 11.4M, mean epr 389.30, run loss 69.94
